class,name,cur_status,data_json
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""143""}],""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1699""}],""EndDate"":[null,{""Content"":""2025-01-09"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""Owner"":[null,{""Content"":""1699"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2024-09-01""}],""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""Content"":""146"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1699""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2026-05-16""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""20""}],""Type"":[null,{""Content"":""144"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2024-09-01""}],""Owner"":[null,{""Content"":""1699"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Type"":[null,{""Content"":""145"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Inactive","[null,{""Version"":[null,{""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2021-12-04""}],""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1696""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""Responsible"":[null,{""Content"":""20"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""146""}]}],""TagKey"":""[1]""}]"
"Approvals","","Inactive","[null,{""TagKey"":""[1]"",""Version"":[null,{""Owner"":[null,{""Content"":""1696"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2021-04-24""}],""Responsible"":[null,{""Content"":""20"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""144""}]}]}]"
"Approvals","","Inactive","[null,{""TagKey"":""[1]"",""Version"":[null,{""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2021-12-04""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1696""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""Responsible"":[null,{""Content"":""20"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""145""}]}]}]"
"Approvals","","Inactive","[null,{""TagKey"":""[1]"",""Version"":[null,{""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2021-03-12""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1696"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""Responsible"":[null,{""Content"":""20"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""Content"":""143"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""146""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2024-09-01""}],""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1689""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}]}],""TagKey"":""[1]""}]"
"Approvals","","Inactive","[null,{""TagKey"":""[1]"",""Version"":[null,{""Type"":[null,{""Content"":""158"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""Content"":""21"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""EndDate"":[null,{""Content"":""2022-09-10"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1689""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""EndDate"":[null,{""Content"":""2024-09-14"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1689""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""Responsible"":[null,{""Content"":""21"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Type"":[null,{""Content"":""144"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""Type"":[null,{""Content"":""145"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2024-09-01""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1689"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""144""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2025-05-24""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1692"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""199""}],""EndDate"":[null,{""Content"":""2027-04-24"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1697"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""146""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1697"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2025-02-02""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""20""}],""Type"":[null,{""Content"":""144"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""EndDate"":[null,{""Content"":""2027-04-02"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1697""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""Type"":[null,{""Content"":""145"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2025-02-02""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1697"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Inactive","[null,{""Version"":[null,{""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""143""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2024-01-06""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""Owner"":[null,{""Content"":""1697"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]""}],""TagKey"":""[1]""}]"
"Approvals","","Inactive","[null,{""Version"":[null,{""EndDate"":[null,{""Content"":""2021-01-17"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1694"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""Type"":[null,{""Content"":""146"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""20""}]}],""TagKey"":""[1]""}]"
"Approvals","","Inactive","[null,{""Version"":[null,{""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""158""}],""Responsible"":[null,{""Content"":""20"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1694""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2021-01-17""}]}],""TagKey"":""[1]""}]"
