Маркиратор (PGM211335206080);Production;Ok;Маркиратор;PGM211335206080;;
Ветродуй (218566);Production;Ok;Ветродуй;218566;;
Ветродуй (225579);Production;Ok;Ветродуй;225579;;
Ветродуй (225578);Production;Ok;Ветродуй;225578;;
Ветродуй (225589);Production;Ok;Ветродуй;225589;;
Ветродуй (225588);Production;Ok;Ветродуй;225588;;
Ветродуй (163699);Production;Ok;Ветродуй;163699;;
Ветродуй (00260845);Production;Ok;Ветродуй;00260845;;
Шуруповерт (0221612);Production;Ok;Шуруповерт;0221612;;
Удлинитель;Production;Ok;Удлинитель;;;
Удлинитель;Production;Ok;Удлинитель;;;
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;07.02.22 Тестер напряжения Перчатки Набор отверток 28.02.24 Сумка с инструментом НАБОР ИЗОЛИРОВАННЫХ ОТВЕРТОК Ключ разводной YATO YT-21652
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;07.02.23 Отвертка с храповым механизмом Перчатки Складной нож 28.02.24 НАБОР ИЗОЛИРОВАННЫХ ОТВЕРТОК
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;28.11.22 Бокорезы Нож Рулетка Отвертки Набор ключей имбусовых Маркер(красный, сииний) Сверла по металлу Тиски ручные Набор инструментов (Биты, головки, трещотка) Пассатижи Ключ разводной Набор Битов  03.02.23 Протяжка Пресс ручной
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;
Ветродуй (104843);Production;Ok;Ветродуй;104843;;
Ветродуй (268193);Production;Ok;Ветродуй;268193;;
Болгарка (0018400);Production;Ok;Болгарка;0018400;;
Перфоратор (863501F7);Production;Ok;Перфоратор;863501F7;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;г Астана
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;г Астана
Мини-мойка / пароочиститель (117143);Production;Ok;Мини-мойка / пароочиститель;117143;;
Пылесос промышленный (047524);Production;Ok;Пылесос промышленный;047524;;
Паяльник;Production;Ok;Паяльник;;;
