Name;DeplState;InciState;ToolsType;SerialNumber;Vladelec;Vendor;Object;Notes
Маркиратор (PGM211335206080);Production;Ok;Маркиратор;PGM211335206080;;1890;УКТМК;
Ветродуй (218566);Maintenance;Ok;Ветродуй;218566;;2516;;
Ветродуй (225579);Maintenance;Ok;Ветродуй;225579;;2516;;
Ветродуй (225578);Maintenance;Ok;Ветродуй;225578;;2516;;
Ветродуй (225589);Maintenance;Ok;Ветродуй;225589;;2516;;
Ветродуй (225588);Maintenance;Ok;Ветродуй;225588;;2516;;
Ветродуй (163699);СКЛАД;Ok;Ветродуй;163699;;2516;;
Ветродуй (00260845);Maintenance;Ok;Ветродуй;00260845;;2516;;
Шуруповерт (0221612);Maintenance;Ok;Шуруповерт;0221612;2695;2516;;
Удлинитель;Maintenance;Ok;Удлинитель;;1690;;;
Удлинитель;Maintenance;Ok;Удлинитель;;2695;;;
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1979;;;07.02.22 Тестер напряжения Перчатки Набор отверток 28.02.24 Сумка с инструментом НАБОР ИЗОЛИРОВАННЫХ ОТВЕРТОК Ключ разводной YATO YT-21652
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1690;;;07.02.23 Отвертка с храповым механизмом Перчатки Складной нож 28.02.24 НАБОР ИЗОЛИРОВАННЫХ ОТВЕРТОК
Сумка с инструментом;СКЛАД;Ok;Сумка с инструментом;;;;;
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;2695;;;28.11.22 Бокорезы Нож Рулетка Отвертки Набор ключей имбусовых Маркер(красный, сииний) Сверла по металлу Тиски ручные Набор инструментов (Биты, головки, трещотка) Пассатижи Ключ разводной Набор Битов  03.02.23 Протяжка Пресс ручной
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1691;;;
Ветродуй (104843);Maintenance;Ok;Ветродуй;104843;1690;2516;;
Ветродуй (268193);Maintenance;Ok;Ветродуй;268193;2695;2516;;
Болгарка (0018400);СКЛАД;Ok;Болгарка;0018400;;2516;;
Перфоратор (863501F7);Maintenance;Ok;Перфоратор;863501F7;2695;2516;;
Гидравлический / ручной пресс;Replace;Ok;Гидравлический / ручной пресс;;;;;г Астана
