Name,DeplState,InciState,ToolsType,SerialNumber,Object,Notes
Маркиратор (PGM211335206080),In Use,Operational,Маркиратор,PGM211335206080,УКТМК,
Ветродуй (218566),In Use,Operational,Ветродуй,218566,,
Ветродуй (225579),In Use,Operational,Ветродуй,225579,,
Ветродуй (225578),In Use,Operational,Ветродуй,225578,,
Ветродуй (225589),In Use,Operational,Ветродуй,225589,,
Ветродуй (225588),In Use,Operational,Ветродуй,225588,,
Ветродуй (163699),In Use,Operational,Ветродуй,163699,,
Ветродуй (00260845),In Use,Operational,Ветродуй,00260845,,
Шуруповерт (0221612),In Use,Operational,Шуруповерт,0221612,,
Удлинитель,In Use,Operational,Удлинитель,,,
Удлинитель,In Use,Operational,Удлинитель,,,
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,07.02.22 Тестер напряжения Перчатки Набор отверток 28.02.24 Сумка с инструментом НАБОР ИЗОЛИРОВАННЫХ ОТВЕРТОК Ключ разводной YATO YT-21652
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,07.02.23 Отвертка с храповым механизмом Перчатки Складной нож 28.02.24 НАБОР ИЗОЛИРОВАННЫХ ОТВЕРТОК
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,"28.11.22 Бокорезы Нож Рулетка Отвертки Набор ключей имбусовых Маркер(красный, сииний) Сверла по металлу Тиски ручные Набор инструментов (Биты, головки, трещотка) Пассатижи Ключ разводной Набор Битов  03.02.23 Протяжка Пресс ручной"
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,
Ветродуй (104843),In Use,Operational,Ветродуй,104843,,
Ветродуй (268193),In Use,Operational,Ветродуй,268193,,
Болгарка (0018400),In Use,Operational,Болгарка,0018400,,
Перфоратор (863501F7),In Use,Operational,Перфоратор,863501F7,,
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,г Астана
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,г Астана
Мини-мойка / пароочиститель (117143),In Use,Operational,Мини-мойка / пароочиститель,117143,,
Пылесос промышленный (047524),In Use,Operational,Пылесос промышленный,047524,,
Паяльник,In Use,Operational,Паяльник,,,
Паяльник,In Use,Operational,Паяльник,,,
Ветродуй (203102),In Use,Operational,Ветродуй,203102,,
Ветродуй (00182206),In Use,Operational,Ветродуй,00182206,,
Паяльник,In Use,Operational,Паяльник,,,
Паяльник,In Use,Operational,Паяльник,,,
Ручной сканер (210134240),In Use,Operational,Ручной сканер,210134240,,
Ручной сканер (210134235),In Use,Operational,Ручной сканер,210134235,,
Ручной сканер (210134234),In Use,Operational,Ручной сканер,210134234,,
Ручной сканер (210134237),In Use,Operational,Ручной сканер,210134237,,
Ручной сканер (210134242),In Use,Operational,Ручной сканер,210134242,,
Ручной сканер (B0311185),In Use,Operational,Ручной сканер,B0311185,,
Ветродуй (J080012),In Use,Operational,Ветродуй,J080012,,21.11.22
Станция эвакуации фреона (???),In Use,Operational,Станция эвакуации фреона,???,,г Астана
Шуруповерт (44047605000163E2022),In Use,Operational,Шуруповерт,44047605000163E2022,,
Фен технический,In Use,Operational,Фен технический,,УКТМК,
Маркиратор (PGM211336206022),In Use,Operational,Маркиратор,PGM211336206022,,
Сварочный аппарат (42492944000),In Use,Operational,Сварочный аппарат,42492944000,,
Манифолд (000001),In Use,Operational,Манифолд,000001,,
Фен технический (211202594),In Use,Operational,Фен технический,211202594,,
Перфоратор (Z43387),In Use,Operational,Перфоратор,Z43387,,
Электролобзик (65874G),In Use,Operational,Электролобзик,65874G,,
Электролобзик (65873G),In Use,Operational,Электролобзик,65873G,,
Перфоратор (00213),In Use,Operational,Перфоратор,00213,,
Шуруповерт (000002),In Use,Operational,Шуруповерт,000002,,
Шуруповерт (000003),In Use,Operational,Шуруповерт,000003,,
Шуруповерт (081641),In Use,Operational,Шуруповерт,081641,,
Шуруповерт (081639),In Use,Operational,Шуруповерт,081639,,
Перфоратор (000469),In Use,Operational,Перфоратор,000469,,
Перфоратор (00650),In Use,Operational,Перфоратор,00650,,
Шуруповерт (n/a),In Use,Operational,Шуруповерт,n/a,,
Шуруповерт (W0REVL5),In Use,Operational,Шуруповерт,W0REVL5,,
Сварочный аппарат (00005),In Use,Operational,Сварочный аппарат,00005,,
Сварочный аппарат (00006),In Use,Operational,Сварочный аппарат,00006,,Вышел из строя
Перфоратор (00213),In Use,Operational,Перфоратор,00213,,
Перфоратор (120301000259),In Use,Operational,Перфоратор,120301000259,,
Фонарик,In Use,Operational,Фонарик,,,
Фонарик,In Use,Operational,Фонарик,,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик,In Use,Operational,Фонарик,,,
Фонарик,In Use,Operational,Фонарик,,,
Фонарик,In Use,Operational,Фонарик,,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик,In Use,Operational,Фонарик,,,
Фонарик,In Use,Operational,Фонарик,,,
Программатор,In Use,Operational,Программатор,,,
Зеркало (n/a),In Use,Operational,Зеркало,n/a,,
Зеркало,In Use,Operational,Зеркало,,,
Зеркало,In Use,Operational,Зеркало,,,
Зеркало,In Use,Operational,Зеркало,,,
Зеркало,In Use,Operational,Зеркало,,,
Коврик огнеупорный (â00001),In Use,Operational,Коврик огнеупорный,â00001,,
Коврик огнеупорный (000002),In Use,Operational,Коврик огнеупорный,000002,,
Тележка,In Use,Operational,Тележка,,,
Болгарка (011019),In Use,Operational,Болгарка,011019,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Фонарик (n/a),In Use,Operational,Фонарик,n/a,,
Пылесос промышленный,In Use,Operational,Пылесос промышленный,,UIB,Сломана вилка
Болгарка (000001),In Use,Operational,Болгарка,000001,,
Болгарка,In Use,Operational,Болгарка,,,
Болгарка (000002),In Use,Operational,Болгарка,000002,,
Болгарка (1B-004/212/0183),In Use,Operational,Болгарка,1B-004/212/0183,,
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,"21.11.2022 Сумка для инструментов Набор инструментов (трещотка, головка, биты) Набор ключей Набор отверток Паяльник Клещи 165мм, 250мм Ключ разводной  Набор шестигранников Рулетка Нож Плоскогубцы Бокорезы Длинногубцы Удлинитель 40м"
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,26.01.22 Сумка для инструментов 02.05.2023 Набор головок (на складе с 28.02.24) Уровень (со склада)  28.02.24 Набор инструментов 57 предметов
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,"13.03.23 Сумка для инструмента Набор Инструментов (ключи рожковые, трещетка, головки, биты) 82 предмета Паяльник Круглогубцы Набор инструментов (длинногубцы,отвертка-тестер,пассатижи,молоток,отвертки,кусачки,ключ разводной, нож, рулетка) 22 предмета Перчатки Рулетка Нож Уровень  28.11.23 TKL20-006-016 IEK Клещи обжимные"
Фонарик,In Use,Operational,Фонарик,,,
Шуруповерт,In Use,Operational,Шуруповерт,,,
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,10.04.23 Рюкзак для инструментов
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,10.04.23 Рюкзак для инструментов
Вакуумный насос (250512),In Use,Operational,Вакуумный насос,250512,,
Вакуумный насос (2204),In Use,Operational,Вакуумный насос,2204,УКТМК,
Вакуумный насос (???),In Use,Operational,Вакуумный насос,???,,
Вакуумный насос,In Use,Operational,Вакуумный насос,,,
Станция эвакуации фреона,In Use,Operational,Станция эвакуации фреона,,,
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Стремянка / Рамные леса,In Use,Operational,Стремянка / Рамные леса,,,
Стремянка / Рамные леса,In Use,Operational,Стремянка / Рамные леса,,,
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,УКТМК,
Ветродуй (203107),In Use,Operational,Ветродуй,203107,,
Перфоратор (000001),In Use,Operational,Перфоратор,000001,,
Болгарка (20101500127),In Use,Operational,Болгарка,20101500127,,
Электрорубанок,In Use,Operational,Электрорубанок,,,
Зарядное устройство (575825/08-2),In Use,Operational,Зарядное устройство,575825/08-2,,
Пчелка (00261794),In Use,Operational,Пчелка,00261794,,
Рация,In Use,Operational,Рация,,UIB,
Рация,In Use,Operational,Рация,,UIB,
Рация,In Use,Operational,Рация,,UIB,
Рация,In Use,Operational,Рация,,UIB,
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,METSO,
Трубогиб,In Use,Operational,Трубогиб,,,
Развальцовка / Труборасширитель,In Use,Operational,Развальцовка / Труборасширитель,,УКТМК,
Развальцовка / Труборасширитель,In Use,Operational,Развальцовка / Труборасширитель,,,
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Пчелка (000408),In Use,Operational,Пчелка,000408,,
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Паяльник,In Use,Operational,Паяльник,,,
